,Score,AnswerCount,ViewCount,FavoriteCount,CommentCount,Ans_Score,Auth_reputation,Editor_reputation,Words_in_Title,Words_in_Title_Description,Accepted_Ans,Tags_Count,title_tag_ratio,Creation_Days,Last_Edit_Days,Last_Activity_Days,Closed_Days,Category
0,2,2,206,0,1,2,11703,935,14,295,4,4,23.21,3611,3611,3611,916,0
1,2,3,220,0,2,2,25,56842,5,197,6,1,11.76,3652,3655,4066,875,0
2,1,1,322,0,6,3,979,4231,10,199,2,3,41.86,4146,4147,4147,381,1
3,1,3,1507,0,4,-2,491,491,6,289,6,5,40.54,1454,1470,2852,3073,1
4,1,1,35,0,1,3,170,170,6,116,2,2,35.09,4132,4132,4132,395,1
5,1,1,39,0,2,2,21558,21558,7,272,2,1,19.23,3243,3243,3243,1284,0
6,3,3,502,0,8,3,1067,243047,8,94,6,5,35.85,3794,3794,3794,733,0
7,2,2,3065,0,3,4,3845,1,13,166,4,3,35.42,1508,3220,1508,3019,0
8,13,1,6617,2,3,18,1865,1865,10,83,2,5,33.66,3255,3255,3255,1272,1
9,1,3,3307,0,3,0,1251,1251,11,135,6,4,48.28,2145,2147,4076,2382,1
10,1,2,335,0,6,0,7440,7440,6,420,4,5,42.03,2445,2445,2445,2082,0
11,3,2,251,0,2,3,65,65,14,531,4,4,28.37,3471,3471,3472,1056,1
12,3,1,237,0,2,3,69338,1,6,79,2,2,50.85,1829,3220,1829,2698,0
13,1,4,10354,0,2,8,2218,159700,14,41,8,1,17.07,1624,1624,1624,956,0
14,1,2,63,0,11,0,151,151,15,198,4,4,25.93,4046,4046,4046,481,1
15,1,1,251,0,6,1,4129,4129,11,146,2,2,18.92,3236,3236,3236,1291,1
16,1,1,737,0,6,1,1025,1025,7,261,2,3,40.51,2419,2419,2420,2108,1
17,5,2,1005,1,1,13,3275,853099,8,46,4,3,12.05,1621,1621,3427,2906,0
18,2,1,221,0,5,0,65,65,10,182,2,2,17.50,3140,3140,3140,1387,1
19,3,3,3286,4,10,2,12856,2856,4,42,6,5,41.58,2969,3195,4366,1558,0
20,1,1,971,0,1,0,37,37,6,220,2,2,20.83,2244,2244,2244,2283,1
21,3,1,958,0,8,2,487,23781,8,122,2,3,47.06,3225,3688,3688,1302,0
22,1,1,393,0,2,1,173,45765,13,506,2,5,30.88,3128,3128,3128,1399,0
23,1,1,1479,1,11,1,1827,75041,6,293,2,4,57.66,2242,2242,2242,2285,0
24,3,1,1005,0,1,0,33,1,4,95,2,3,10.17,2426,2426,2426,2101,1
25,13,1,7067,4,4,27,4668,16315,12,96,2,3,24.35,765,2773,2773,3762,0
26,1,1,18,0,2,1,135,42055,3,69,2,3,36.36,4117,4117,4117,410,0
27,1,1,408,1,3,0,29,29,7,207,2,3,20.90,2855,2855,2855,1672,1
28,7,3,14955,1,2,2,743,1,6,110,6,3,40.62,731,3220,731,3795,0
29,1,1,7643,2,3,8,135,82030,7,68,2,4,55.56,2666,2666,2666,1861,0
30,4,2,1362,0,1,0,43,243047,13,300,4,4,36.19,3953,3955,3955,574,0
31,1,2,58,0,4,2,217,217,8,214,4,2,16.44,4192,4192,4192,335,1
32,5,2,6405,4,1,14,2219,38630,6,34,4,4,55.70,2676,2676,3260,1851,0
33,5,1,601,0,3,3,586,11767,14,106,2,5,37.29,3863,3863,4500,664,0
34,5,2,2147,1,4,4,3356,29372,5,161,4,2,48.78,1873,2071,3086,2654,0
35,1,2,43,0,1,4,386,386,6,183,4,2,30.51,4229,4229,4229,298,1
36,1,3,73,0,1,2,119,127217,7,105,6,5,23.68,3583,3583,3584,944,0
37,1,1,1491,1,3,1,401,401,16,304,2,2,17.98,3076,4411,4411,1451,1
38,19,2,6628,2,5,12,2274,2274,11,33,4,2,30.77,1603,1603,4109,2924,0
39,2,1,1534,0,4,1,121,121,15,1630,2,5,27.45,4252,4254,4254,275,1
40,5,3,4169,1,1,5,103,58588,9,106,6,3,45.83,2267,2602,2737,2260,0
41,64,6,80813,26,1,61,15059,19724,5,36,12,2,36.07,1130,1130,4463,3397,0
42,1,1,25,0,1,0,1,1,10,43,2,4,33.68,4511,4511,4511,16,1
43,1,4,86,0,6,2,1132,1132,8,318,8,3,31.17,3890,3890,3890,637,1
